timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;Right;Left;Random;Middle
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4057;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4170;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4124;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4089;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4154;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4129;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4096;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4090;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4203;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4117;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4114;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4135;;;;;;;
;;;;;;;;;AVG;4183;;;;;;;
;;;;;;;;;MIN;4057;;;;;;;
;;;;;;;;;MAX;5548;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4165;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4094;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4086;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4129;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4134;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4082;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4092;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4123;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4079;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4075;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4113;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4104;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4071;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4075;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4116;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4139;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4085;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4129;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4132;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4085;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4068;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4076;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4172;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4072;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4106;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4314;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4109;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4080;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4118;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4148;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4180;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4111;;;;;;;
