timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9323;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9489;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9210;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9231;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9207;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9291;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9508;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9211;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9283;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9201;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9264;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9273;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9210;;;;;;;
;;;;;;;;;AVG;9307;;;;;;;
;;;;;;;;;MIN;9168;;;;;;;
;;;;;;;;;MAX;10439;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21564;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21927;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21501;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21575;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21465;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21606;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21429;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21508;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21406;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21425;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21475;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;22300;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21406;;;;;;;
