timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1591;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1595;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1807;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1749;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1686;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1633;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1653;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1605;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1659;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1599;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1645;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1604;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1606;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1640;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1652;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1741;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1675;;;;;;
;;;;;;;;;AVG;1686;;;;;;
;;;;;;;;;MIN;1588;;;;;;
